date,rFactor
01-03-2020,2.64
02-03-2020,2.25
03-03-2020,2.39
04-03-2020,2.44
05-03-2020,2.36
06-03-2020,2.63
07-03-2020,2.18
08-03-2020,2.26
09-03-2020,2.31
10-03-2020,2.28
11-03-2020,2.36
12-03-2020,2.39
13-03-2020,2.32
14-03-2020,2.25
15-03-2020,2.13
16-03-2020,2.08
17-03-2020,1.96
18-03-2020,1.85
19-03-2020,1.74
20-03-2020,1.6
21-03-2020,1.52
22-03-2020,1.46
23-03-2020,1.38
24-03-2020,1.34
25-03-2020,1.25
26-03-2020,1.2
27-03-2020,1.13
28-03-2020,0.99
29-03-2020,0.89
30-03-2020,0.8
31-03-2020,0.77
01-04-2020,0.78
02-04-2020,0.82
03-04-2020,0.86
04-04-2020,0.89
05-04-2020,0.9
06-04-2020,0.91
07-04-2020,0.91
08-04-2020,0.9
09-04-2020,0.83
10-04-2020,0.81
11-04-2020,0.8
12-04-2020,0.8
13-04-2020,0.83
14-04-2020,0.84
15-04-2020,0.81
16-04-2020,0.74
17-04-2020,0.69
18-04-2020,0.68
19-04-2020,0.64
20-04-2020,0.63
21-04-2020,0.61
22-04-2020,0.59
23-04-2020,0.57
24-04-2020,0.56
25-04-2020,0.5
26-04-2020,0.55
27-04-2020,0.54
28-04-2020,0.5
29-04-2020,0.49
30-04-2020,0.54
01-05-2020,0.58
02-05-2020,0.61
03-05-2020,0.63
04-05-2020,0.6
05-05-2020,0.58
06-05-2020,0.56
07-05-2020,0.57
08-05-2020,0.62
09-05-2020,0.68
10-05-2020,0.64
11-05-2020,0.68
12-05-2020,0.77
13-05-2020,0.78
14-05-2020,0.81
15-05-2020,0.83
16-05-2020,1.1
17-05-2020,1.26
18-05-2020,1.54
19-05-2020,1.84
20-05-2020,1.89
21-05-2020,2.02
22-05-2020,2.08
23-05-2020,1.93
24-05-2020,1.86
25-05-2020,1.7
26-05-2020,1.46
27-05-2020,1.48
28-05-2020,1.43
29-05-2020,1.42
30-05-2020,1.36
31-05-2020,1.44
01-06-2020,1.38
02-06-2020,1.35
03-06-2020,1.36
04-06-2020,1.28
05-06-2020,1.22
06-06-2020,1.26
07-06-2020,1.2
08-06-2020,1.23
09-06-2020,1.26
10-06-2020,1.23
11-06-2020,1.22
12-06-2020,1.26
13-06-2020,1.27
14-06-2020,1.32
15-06-2020,1.34
16-06-2020,1.33
17-06-2020,1.38
18-06-2020,1.41
19-06-2020,1.46
20-06-2020,1.44
21-06-2020,1.46
22-06-2020,1.49
23-06-2020,1.5
24-06-2020,1.5
25-06-2020,1.51
26-06-2020,1.44
27-06-2020,1.43
28-06-2020,1.36
29-06-2020,1.3
30-06-2020,1.29
01-07-2020,1.28
02-07-2020,1.28
03-07-2020,1.28
04-07-2020,1.23
05-07-2020,1.23
06-07-2020,1.21
07-07-2020,1.18
08-07-2020,1.17
09-07-2020,1.12
10-07-2020,1.1
11-07-2020,1.11
12-07-2020,1.1
13-07-2020,1.07
14-07-2020,1.08
15-07-2020,1.04
16-07-2020,1.03
17-07-2020,1.04
18-07-2020,1.04
19-07-2020,1.02
20-07-2020,1
21-07-2020,0.96
22-07-2020,0.93
23-07-2020,0.91
24-07-2020,0.91
25-07-2020,0.9
26-07-2020,0.9
27-07-2020,0.92
28-07-2020,0.97
29-07-2020,0.99
30-07-2020,1.01
31-07-2020,1.01
01-08-2020,1.02
02-08-2020,1.01
03-08-2020,1.01
04-08-2020,0.97
05-08-2020,0.97
06-08-2020,0.99
07-08-2020,0.99
08-08-2020,0.98
09-08-2020,0.99
10-08-2020,0.98
11-08-2020,0.99
12-08-2020,0.99
13-08-2020,0.98
14-08-2020,1.01
15-08-2020,1.04
16-08-2020,1.07
17-08-2020,1.11
18-08-2020,1.12
19-08-2020,1.13
20-08-2020,1.13
21-08-2020,1.12
22-08-2020,1.11
23-08-2020,1.18
24-08-2020,1.18
25-08-2020,1.2
26-08-2020,1.22
27-08-2020,1.26
28-08-2020,1.28
29-08-2020,1.29
30-08-2020,1.25
31-08-2020,1.26
01-09-2020,1.27
02-09-2020,1.29
03-09-2020,1.29
04-09-2020,1.27
05-09-2020,1.29
06-09-2020,1.24
07-09-2020,1.22
08-09-2020,1.21
09-09-2020,1.21
10-09-2020,1.16
11-09-2020,1.08
12-09-2020,1.1
13-09-2020,1.15
14-09-2020,1.2
15-09-2020,1.23
16-09-2020,1.25
17-09-2020,1.25
18-09-2020,1.14
19-09-2020,1.04
20-09-2020,1.08
21-09-2020,1.05
22-09-2020,1
23-09-2020,0.93
24-09-2020,0.93
25-09-2020,1.05
26-09-2020,1.04
27-09-2020,0.91
28-09-2020,0.82
29-09-2020,0.74
30-09-2020,0.71
01-10-2020,0.7
02-10-2020,0.68
03-10-2020,0.66
04-10-2020,0.65
05-10-2020,0.62
06-10-2020,0.62
07-10-2020,0.61
08-10-2020,0.62
09-10-2020,0.61
10-10-2020,0.61
11-10-2020,0.61
12-10-2020,0.64
13-10-2020,0.64
14-10-2020,0.64
15-10-2020,0.66
16-10-2020,0.67
17-10-2020,0.7
18-10-2020,0.71
19-10-2020,0.71
20-10-2020,0.74
21-10-2020,0.75
22-10-2020,0.81
23-10-2020,0.84
24-10-2020,0.88
25-10-2020,0.92
26-10-2020,0.93
27-10-2020,0.95
28-10-2020,0.95
29-10-2020,0.94
30-10-2020,0.94
31-10-2020,0.92
01-11-2020,0.94
02-11-2020,1.01
03-11-2020,1.03
04-11-2020,1.05
05-11-2020,1.06
06-11-2020,1.08
07-11-2020,1.1
08-11-2020,1.08
09-11-2020,1.05
10-11-2020,1.04
11-11-2020,1.06
12-11-2020,1.08
13-11-2020,1.08
14-11-2020,1.06
15-11-2020,1.1
16-11-2020,1.13
17-11-2020,1.15
18-11-2020,1.16
19-11-2020,1.17
20-11-2020,1.18
21-11-2020,1.19
22-11-2020,1.21
23-11-2020,1.21
24-11-2020,1.22
25-11-2020,1.25
26-11-2020,1.24
27-11-2020,1.24
28-11-2020,1.25
29-11-2020,1.21
30-11-2020,1.21
01-12-2020,1.19
02-12-2020,1.19
